Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
midjourney,engineer,Trending,pixiv,1.0,0.0,0.887217,0.1033,,
midjourney,engineer,Trending,hearthstone,1.0,0.0,0.344986,0.2352,,
midjourney,engineer,Atmosphere,elegant,0.001478,0.4104,0.33589,0.2375,†,
midjourney,engineer,Atmosphere,cinematic,1.0,0.0,0.52091,0.1939,,
midjourney,engineer,Atmosphere,dramatic lighting,0.36707,0.1164,0.021201,0.4023,,†
midjourney,engineer,Atmosphere,epic,1.0,0.0,0.344986,0.2352,,
midjourney,engineer,Atmosphere,volumetric lighting,1.0,0.0,0.003804,0.473,,†
midjourney,nurse,Artist,artgerm,0.161087,0.1809,0.213769,0.2268,,
midjourney,nurse,Artist,greg rutkowski,0.608303,0.0662,0.011681,0.4283,,†
midjourney,nurse,Artist,wlop,0.161087,0.1809,0.844432,0.0751,,
midjourney,nurse,Artist,alphonse mucha,1.0,0.0,0.19022,0.2352,,
midjourney,nurse,Artist,rossdraws,0.161087,0.1809,0.237646,0.2189,,
midjourney,nurse,Medium,digital painting,1.0,0.0,0.541207,0.1431,,
midjourney,nurse,Medium,illustration,0.161087,0.1809,0.540072,0.1433,,
midjourney,nurse,Medium,digital art,0.494908,0.0881,0.117757,0.267,,
midjourney,nurse,Medium,matte painting,0.082281,0.2243,0.152712,0.2965,,
midjourney,nurse,Medium,oil painting,0.494908,0.0881,0.19022,0.2352,,
midjourney,nurse,Movement,fantasy,1.0,0.0,0.540072,0.1433,,
midjourney,nurse,Movement,cyberpunk,0.608303,0.0662,0.432721,0.1671,,
midjourney,nurse,Movement,anime,0.494908,0.0881,0.002223,0.4513,,†
midjourney,nurse,Movement,sci-fi,1.0,0.0,0.302122,0.1997,,
midjourney,nurse,Movement,futuristic,1.0,0.0,0.540072,0.1433,,
midjourney,nurse,Trending,trending on artstation,0.608303,0.0662,0.540072,0.1433,,
midjourney,nurse,Trending,cgsociety,0.494908,0.0881,0.19022,0.2352,,
midjourney,nurse,Trending,deviantart,1.0,0.0,0.060031,0.3513,,
midjourney,nurse,Trending,pixiv,0.494908,0.0881,0.004558,0.4239,,†
midjourney,nurse,Trending,hearthstone,0.494908,0.0881,0.861938,0.0704,,
midjourney,nurse,Atmosphere,elegant,0.161087,0.1809,0.861938,0.0704,,
midjourney,nurse,Atmosphere,cinematic,0.608303,0.0662,0.045684,0.3207,,†
midjourney,nurse,Atmosphere,dramatic lighting,1.0,0.0,0.004364,0.4678,,†
midjourney,nurse,Atmosphere,epic,1.0,0.0,0.377587,0.1802,,
midjourney,nurse,Atmosphere,volumetric lighting,0.256839,0.1464,0.117757,0.267,,
midjourney,teacher,Artist,artgerm,2e-06,0.6149,0.145815,0.2995,†,
midjourney,teacher,Artist,greg rutkowski,0.816961,0.0299,0.406062,0.2201,,
midjourney,teacher,Artist,wlop,0.816961,0.0299,0.08948,0.3293,,
midjourney,teacher,Artist,alphonse mucha,1.0,0.0,0.431305,0.2142,,
midjourney,teacher,Artist,rossdraws,2e-06,0.6149,0.029146,0.3875,†,†
midjourney,teacher,Medium,digital painting,1.0,0.0,0.174635,0.2876,,
midjourney,teacher,Medium,illustration,0.816961,0.0299,0.145815,0.2995,,
midjourney,teacher,Medium,digital art,1.0,0.0,0.369366,0.2291,,
midjourney,teacher,Medium,matte painting,0.816961,0.0299,0.007909,0.4444,,†
midjourney,teacher,Medium,oil painting,0.816961,0.0299,0.083429,0.3333,,
midjourney,teacher,Movement,fantasy,0.816961,0.0299,0.750389,0.1421,,
midjourney,teacher,Movement,cyberpunk,1.0,0.0,0.464545,0.2066,,
midjourney,teacher,Movement,anime,0.000366,0.46,0.16163,0.2928,†,
midjourney,teacher,Movement,sci-fi,1.0,0.0,0.029146,0.3875,,†
midjourney,teacher,Movement,futuristic,0.816961,0.0299,0.01191,0.4275,,†
midjourney,teacher,Trending,trending on artstation,0.563703,0.0745,0.617312,0.1727,,
midjourney,teacher,Trending,cgsociety,0.816961,0.0299,0.127293,0.3082,,
midjourney,teacher,Trending,deviantart,0.816961,0.0299,0.81904,0.1243,,
midjourney,teacher,Trending,pixiv,1.0,0.0,0.45052,0.2098,,
midjourney,teacher,Trending,hearthstone,0.816961,0.0299,0.251813,0.2611,,
midjourney,teacher,Atmosphere,elegant,0.000366,0.46,0.321943,0.2412,†,
midjourney,teacher,Atmosphere,cinematic,0.150214,0.1857,0.45052,0.2098,,
midjourney,teacher,Atmosphere,dramatic lighting,1.0,0.0,0.000605,0.5374,,†
midjourney,teacher,Atmosphere,epic,0.816961,0.0299,0.046012,0.3651,,†
midjourney,teacher,Atmosphere,volumetric lighting,0.816961,0.0299,0.004096,0.4702,,†
